"单遮眼","hair over one eye one eye covered"
"浑身射满了的白雪姬ddll","nsfw,sex,uncensored,{{{best quality}}},{{{official art}}},{{{extremely detailed CG unity 8k wallpaper}}},{{{masterpiece}}},{{{Beautiful scenery}}},Perfect female body,shiny eyes,floating violet hair,{{{light skin}}},aqua eyes,hair tie, bowties,atropurpureus multiple hair bows,hairpins ,smile,{{{detached_sleeves}}},{{{Royal sister}}},{{{pleated_miniskirt}}},{{{frilled lace thighhighs}}},{{{neck garter}}},{{{lace shoes}}},very long hair,{{{shy_face}}},{{{spread legs}}},snow,wind,flower,moon,small_nipples,,ejaculation, ,cum_in_pussy,cum_inside,cum_on_breast, ,cum_on_abdomen,cum_on_face, ,cum_on_kneesocks"
"宵宫","(yoimiya_(genshin_impact) : 3),firework,Perfect female body,solo,slim waist,bandage,bandage,(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))(an extremely delicate and beautiful eyes),dynamic angle,floating, (beautiful detailed),an extremely delicate and Handsome girl,frills,burning,bloom,nube,Cunning,light light Chestnut hair,orange colored tips,yellow eyes"
"萝莉","{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},ocean,long hair,blonde_hair/yellow_eyes,pleated skirt,school uniform,large_breasts,white_thighhighs,hair ornament,thigh strap,ribbon,eye contact,looking at viewer,seductive smile ,presenting foot"
"古明地恋","dramatic angle ,starry sky,clusters of stars,gohei,anime screencap,photo (medium) ,ahoge,gradient hair,bow-shaped hair,black hair,red_eyes,seductive smile ,wariza,breast hold,skindentation,drooling,heart-shaped_pupils,no_panties,tank top,loli,bishoujo,azur lane,bridal veil,huge_breasts,beautiful detailed water"
"花嫁伪娘（成功率低；推荐竖图768*512分辨率）","masterpiece, best quality, {masterpiece}, best quality, {higher}, extremely detailed CG unity 8k wallpaper, NSFW, girly_boy, solo, detailed small dick between legs, slim limbs, glittering penis_juice, detailed face, beautiful wedding dress, blush, full body"
"花嫁伪娘（成功率低；推荐竖图768*512分辨率）","masterpiece, best quality, {masterpiece}, best quality, {higher}, extremely detailed CG unity 8k wallpaper, ,NSFW, detailed dick between legs, girly_boy, glittering penis_juice, detailed face, beautiful wedding dress, blush, full body"
"白毛红桐白少女","simple background,long_hair,white_hair,red_eyes,fucked silly,empty eyes,untied bikini,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm"
"萝莉","ahoge,very_long_hair,asymmetrical bangs,Perfect female body,solo,petite,sleeping,hetero,hetero,no_nose,high ponytail,silver_hair/cyan_eyes,on bed,Bare thigh,anklet,barefoot,slim legs,beautiful detailed eyes,no_bra,night dress,no_panties,white_thighhighs,thigh strap,bell,hair ornament,collar,earrings,necklace,laptop,tiny_chest,red eyeswrite hairsgirlsimleopen legs,top-down bottom-up,fucked silly,half-closed eyes,miniskirt,white stocking,rabbit tail,thigh strap,nurse cap,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm,cinematiclighting"
"血","{{very long hair, white hair, red eyes, lab coat, {plaid skirt,} drill hair,}} {{{huge breasts, Bare thigh, solo, Perfect female body, slim legs, thin legs}}}, suspenders, thigh strap, hood, Lori, {{{red moon, Skin made of water, Tactical gloves,}}} evil smile evil grin, slim waist, Erlang legs, {{{{beautiful eyes, hands on hips, poorly drawn asymmetric eyes, aqua gradient eyes, masterpiece, }}}}, 3d"
"铯铯","first-person view,hip focus,blurry background,facing away,dakimakura,loli girl moon night light lake glass,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,on bed,bedroom,anime screencap,slim waist,bulge,Sylph,water sprit,{{{small city}}},{{{giantess}}},{{{giga size}}},minimap,(((tall))),high ponytail,ponytail,white_hair/blue_eyes,seductive smile ,crying with eyes open,Skirt lift,half body under water,bare shoulders,wariza,spread legs,top-down_bottom-up,w-sitting on the ground,lying,princess carry,huddle, clasp knees,top-down_bottom-up,own hands clasped,own hands clasped,interlocked fingers,hands in hair,adjusting hair,hand in own hair,torn_thighhighs,orgasm,torogao,drunk,orgasm,upturned eyes,school swimsuit,night dress,lace-trimmed panties,black stocking,no shoe,huge_breasts,masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, 3 girls"
"瑟瑟（新编码版本）by茉小晴","#best quality,<masterpiece, highres, original>,#extremely detailed wallpape<an extremely delicate and beautiful,8k>,wariza{,           high ponytail(blonde_hair);,           crying with eyes open;,           thong leotard{,            thighhighs;,        },             lace-trimmed_gloves;         ,}"
"终末第一版","ponytail,long_hair,high ponytail,dog_ears,white_hair,red_eyes,knife and sword,teenage,dog girl"
"教堂湿身白毛","white hair, breasts, best quality, beautiful detailed eyes, 1girl, full body, wet clothes, crying, church,praying, crowd, exposed"
"未来","straight-on,perspective,lovely,building architecture,soviet poster,ahoge,white_hair,red_eyes,looking away,standing,outstretched hand,light smile,heterochromia blue red,school uniform,tiny tits"
"骚气的女王姐姐","highly detailed, ultra detailed, incredible bsurdres, huge file size, wallpaper, masterpiece, best quality, queen, saliva, expressionless eyes, brown skin, heart in eyes, heart shaped pupils, looking at viewer, makeup , nude, legs apart, vagina exposed, profuse sweat on breasts, white semen on stockings, black like knee socks, kinky, milf, mature, big boobs, medium boobs, headgear, gloves, cross necklace, collar , fetters, cufflinks"
"美背,美臀","female focus,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper,  {an extremely delicate and beautiful},short_hair,looking at viewer,adjusting hair,ass visible through thighs,between legs,blush,embarrassed,orgasm,heart-shaped pupils,pleated skirt,breasts,cleavage,standing,nude,uncensored,bent_over, curvy, ass_grab, smile, solo,arched back"
"老婆","nsfw,sex,uncensored,{{{best quality}}},{{{official art}}},{{{extremely detailed CG unity 8k wallpaper}}},{{{masterpiece}}}{{{Beautiful scenery}}},Perfect female body,shiny eyes,floating violet hair,{{{light skin}}},aqua eyes,hair tie, bowties,atropurpureus multiple hair bows,hairpins ,smile,{{{detached_sleeves}}},{{{Royal sister}}},{{{pleated_miniskirt}}},{{{frilled lace thighhighs}}},{{{neck garter}}}{{{lace shoes}}},very long hair,{{{shy_face}}},{{{spread legs}}},snow,wind,flower,moon,small_nipples,ejaculation, cum_in_pussycum_inside,cum_on_breast, cum_on_abdomen,cum_on_face, cum_on_kneesocks,medium_breasts,long_hair,black pleated skirt,white_hair,red_eyes,Silver hair,young girl,clothes_lift,loli girl moon night light lake glass,1gril,   full-body shot,  nsfw , medium breasts,  open mouth,  evil smile,medium hair, gradient yellow hair, twintails,black eyes,gradient hair,no_bra,cameltoe, Jacket ,blue Denim short,{White Sleeveless Premium Shirt},clothes unbuttoned,wardrobe_malfunction,black knee high stoc"
"好康的","pleated skirt,messy_hair,all fours,black stocking,solo,masterpiece,photo (medium) ,lilac_hair/lilac_eyes,outstretched arms,medium_breasts,bandage over one eye,long_hair,white_hair,red_eyes,light smile,sideways glance,fighting_stance,legs apart,expressionless,hanfu,hair ribbon,Samurai Sword,small_breasts,best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field,floral headwear,1gril, full-body shot, nsfw , medium breasts, open mouth, evil smile,medium hair, gradient yellow hair, twintails,black eyes,gradient hair,no_bra,cameltoe, Jacket ,blue Denim short,{White Sleeveless Premium Shirt},clothes unbuttoned,wardrobe_malfunction,black knee high stockings, dress shoes, pink Gaming Headset, masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper, , ,cleavage,drunk"
"八重神子","(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(red moon), starry sky,shine,frills,half closed eyes,red eyes,burning,detailed light,(black_hair),bloom,(((miko))),((hair pink flowers)),{aqua eyes},(((small breast))),((miko)),(pink long_hair),nube"
"精致的反光和高玻璃护栏板","delicate refective and high glass guardrail board"
"animal ears,white hair,na","animal ears,white hair,naked,loli,bare shoulders,big breasts,without bra"
"塔和最中","masterpiece, best quality, loli, bishoujo, ojousama, single, green hair,  short hair, bangs, red hairband,light smile, green eyes,lolita gothic,uwabaki,  hime_cut, hair bow, {wheelchair}, gun,medium breasts"
"人设","overexposure,{wet clothes},medium breast,solo,{doll},Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,from below,upper body,simple background,beach,anime screencap,Perfect female body,hair over one eye,messy_hair,long_hair,red eyes,turquoise,looking at viewer,sitting on the ground,detail fingers,breast hold,drunk,beautiful detailed eyes,bikini,masterpiece, best quality,horns,yanderesmall breasts,witch,fishnets,redhair,Demon,green eye,beauty mark,crotch tattoo,Black clot,large_breasts"
"女上位ol","{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper,  beautiful detailed eyes ,{best quality},official art,{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting},office lady,white hair,hair bun,collarbone, messy hair,messy hair,wallpaper,glasses,cold,1 girl,1 boy,(breast grab),bare shoulders,cinematic angle,close-up,unbuttoned clothes,cleavage,(Work card),office,collar,semi-rimless eyewear,nsfw,frown,clenched teeth,embarrassed,blush,cum on face,cum on body,cum on hair,((Upright straddle)),pov,mature girl,(penis on pussy),[naked],((girl on top)),(penis),(pussy),vaginal,sex,straddling,torn stockings"
"精灵温泉百合","masterpiece, best quality,(best quality:1.05), (masterpiece:1.1025), (highres:1.05),extremely detailed 8K wallpaper,\(beautiful detailed water\),(yuri:2.2025), (2girl:2.5025), (an extremely delicate and beautiful,messy:1.05),\(little bubble\),\(\(small dew\),\(water on body),wet,(mist),stream,streaming tear,(large_breasts,],looking_at_viewer,twins,messy_hair,bikini,dramatic shadows,watery eyes,half closed eyes,mature female,neat figure,slender waist,Perfect female body,:1.05)((masterpiece)),(((high quality))),(extremely detailed CG unity 8k wallpaper),highere,long white hair,bangs,medium breast and thigh,cumshots,silk stockings,naked,white pussy,creampie,after sex,shushing,torogao,album cover,((blush)),((open mouth)),((screaming)),(saliva),earrings,choker,((lace trim)),thighband pantyhose,high heels,beautiful detailed eyes,((gentle)),wife,beauty mark,(bare chest),(Nude pussy),(((perfect face))),(((perfect breasts))),(((perfect pussy))){highres}, {an extremely delicate and beautiful},smile,ahoge,hime cut,sil"
"悲伤的女人","((masterpiece)), ((best quality)), highres, absurdres, illustration, an extremely delicate and beautiful, extremely detailed CG 8k wallpaper, (Amazing), ((fantasy)), finely detail, aestheticism painting, intricate detail, beautiful detailed girl, (ray tracing), ((best illumination)), best shadow, extremely detailed eyes and face, 1girl, solo, perfect female body, (from above), (looking at viewer), overhead view, ultra-detailed,o_o, (straight-on), bishoujo, (wariza), sitting, original, blonde hair, (blue rose), twintails, tearingup, bangs, very long hair, green eyes, eye reflection, medium breasts, (collarbone), earrings, (aqua eyes), white dress, blue thigh strap\(flower\), embellished costume, (glowing eyes), bare legs, off-shoulder dress, barefoot, collar, blue bow, hair flower, hair ornament, hair ribbon, necklace, hair blowing, floating hair, hair between eyes, shiny hair, sarashi, spinning, between legs, hand between legs, jewelry, wet, wet clothes, wading, thighs, legs, single thighhigh, anklet, v arm"
"羞涩的少女","ray tracing,incredibly_absurdres,symmetrical,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},upper body,portrait,gigantic_breasts,red eyeswrite hairsgirlsimleopen legs,heterochromia golden green,top-down bottom-up,indoors,Perfect female body,miko,{{masterpiece}},(((best quality))), ((ultra-detailed)),{{{photorealistic}}}, overexposure,1 girl,very long hair,{{wet hair}},Nudity,tanlines,slim legs,large_breasts,puffy nipples,weatdrop, {wet},seiza,spread legs,exhibitionism,open  legs,Presenting Pudences,{pussy},(Semen outflow),(cum on body),bathing,shower, depth of field,cinematic angle ,backlighting,young girl,blush,naughty_face,nsfw"
"(第一人称)和雷电将军酒后乱情","best quality,highly detailed,masterpiece,ultra-detailed,illustration,an extremely delicate and beautiful girl,extremely detailed,extremely detailed CG unity 8k wallpaper,best quality,wallpaper,comic,anime face,nsfw,{{{{nudity}}}},spread pussy,solo,wet,semen,cute face,big breast,spread legs,closed eyes,sex,sexy,mature,lying,on the bed,sweat,long hair,wet hair,blush,blush nose,drunk,slim body,messy hair,{{{Genshin}}},{{{{{Raiden Shogun}}}}},{{{strong pennis in pussy}}},{{{first person}}}"
"二战","battlefield,cinematic angle ,Loong, dragon background, loong background,blunt_bangs,ponytail,black_hair/black_eyes,looking at viewer,standing,disgust,military_uniform,thigh boots,gloves ,pocket watch pendant,medium_breasts,god rays"
"瑟瑟猫猫","((cum on face,cum on body,cum on hair,wet clothes)),full body,(((((ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,))))),Perfect female body,((kemono)),blonde hair,((fox_ears)),(((((saliva))))),(very_long_hair),messy_hair,aqua_eyes,looking at viewer,facing viewer,((open your legs wide)),((legs over head)),((drooling)),(ahegao),(((((orgasm))))),(((((blush))))),open  mouth,(((((heart-shaped_pupils))))),half-closed eyes,aquagradient eyes,tareme,(((((puffy areolae))))),((((upturned nipples)))),(papilla),((((gigantic_breasts)))),cleavage,(((straight-on,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},1girl, full body, squatting,orgasm,ahegao,fucked silly,pink hair, purple eyes, naked apron,pussy juice,))),(({{hip vent}},{{{half-closed eyes}}},{{{{{unconscious}}}}},{{{{zzz}}}},{{red harem o"
"女的","straight-on,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},1girl, full body, squatting,orgasm,ahegao,fucked silly,pink hair, purple eyes, naked apron,pussy juice,{NSFW}, shibari, arms behind back, gag,sex cum,pubic tattoo,masterpiece,best quality,album cover,mature girl,medium breasts,full body,red sofa,pillow,long messy and brown hair,(brown eyes with long eyelashes),(blush), earrings,choker,((short shirt with off shoulder and lace trim)),(midriff),(lace-trimmed skirt),(pantyhose),shoes"
"不知道取啥","crossed legs,white hair,loli,swimsuit,unbuttoned clothes,upturned nipples,huge_breasts,upturned nipples,areola_slip,underboob,heavy breathing,kemomimi,crying with eyes open,tongue out,looking at viewer,long_hair,wavy_hair,very_long_hair,colored tips,half updo,overexposure,{wet clothes},medium breast,solo,Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,camel_toe,full_body,stockings,,pair of horns,sideways glance,staring,Skirt lift,torn_thighhighs,medium_breasts,crotchless panties,presenting panties,between legs,slim legs,ass visible through thighs,big ass,skindentation,legs apart,succubus,slim waist,sitting on bed"
"女上位ol","{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper,  beautiful detailed eyes ,{best quality},official art,{photorealistic}, {painting}, {realistic}, {sketch}, {oil painting},office lady,white hair,hair bun,collarbone, messy hair,messy hair,wallpaper,glasses,cold,1 girl,1 boy,(breast grab),bare shoulders,cinematic angle,close-up,unbuttoned clothes,cleavage,(Work card),office,collar,semi-rimless eyewear,nsfw,frown,clenched teeth,embarrassed,blush,cum on face,cum on body,cum on hair,((Upright straddle)),pov,mature girl,(penis on pussy),[naked],((girl on top)),(penis),(pussy),vaginal,sex,straddling,torn stocki"
"女人","ass visible through thighs,legs apart,Bare thigh,barefoot,barefoot,cleavage,gigantic_breasts,upturned nipples,puffy areolae,nsfw,sex,cum_on_vagina,just_one_penis,1boy,Bashful,sweat,orgasm,tears,crying,pain,pov,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((8k_wallpaper)),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes),straight-on,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},1girl, full body, squatting,orgasm,ahegao,fucked silly,pink hair, purple eyes, naked apron,pussy juice,Perfect female body,Delicate muscle lines,bishoujo,azur lane,very_long_hair,seductive smile ,heavy breathing,thigh gap,spread legs,lying,no_panties,pov crotch"
"牛逼","overexposure,{wet clothes},medium breast,solo,Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,camel_toe,full_body,stockings"
"芜湖","Perfect female body,solo,young girl,ahoge,long_hair,silver_hair/cyan_eyes,white stocking,small_breasts,papilla,lace-trimmed panties,on bed,closed eyes,Lie on your side,slim legs,sleeping,white panties,nsfw,detail fingers"
"萝莉","{an extremely delicate and beautiful}, best quality, {{masterpiece}}, illustration, studio photography, {extremely detailed cg}, highres, small_breasts, {{loli}},{one girl}, very long light white hair, beautiful detailed blue eyes, aqua eyes, white robe, cat ears, {flower hairpin}, {surrounded by beautiful detailed blue flowers}, sunlight, light smile, beautiful detailed blue necklace, {{{see-through}}}, flower request, breast_focus, {luxuriant bra}, {{breast_conscious}}, nipples, presenting breast, {hand on breast},  {covering_breasts}"
"哟西哟西","best quality, wallpaper, masterpiece, yuri, loli, very long hair, white hair, Side ponytail, heart in eye, small breasts, pussy_juice, tribadism, 69, uncensored, cunnilingus, shaved_pussy, cum_inside"
"白石杏（概率在百分之六十左右）无星星头饰","Oblique fringe,Blue black gradient hair,bangs,payot,very_long_hair,fangs,gradient hair,black hair,Black blue hair,looking at viewer,grin,bent over,hidden hands,slim legs,(((((singing sang.))))),plaid skirt,(neck ribbon),school_uniform,pleated skirt,medium_breasts,masterpiece,lovely,anime screencap,upper body,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,solo,hair over one eyebrow,{{golden eyes}},没有星星头饰"
"凑友希那","((((solo)))),bangs,long_hair,slim legs,(((((clear face,expressionless))))),tsurime,school_uniform,black pleated skirt,uwabaki,medium_breasts,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,golden eyes,{{{Light purple gray hair}}},ps：反向tag请务必填上Accessories！！"
"瑟瑟","first-person view,male focus,incredibly_absurdres,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},on bed,indoors,outline,comic,photorealistic,extremely detailed CG unity 8k wallpaper,wavy_hair,long_hair,curly_hair,saliva,cat_ears,blonde hair,long hair,parted bangs,sidelocks,hair intakes,hair spread out,heavy breathing,tongue out,crying,spread legs,lying on back,presenting panties,breast hold,slim legs,anklet,big ass,feet up,legs up,knees together feet apart,orgasm,fucked silly,drooling,tears,looking up,no pupils,empty eyes,drooling,messy_hair,open  mouth,naughty_face,empty eyes,highleg leotard,thong leotard,sheer tulle dress,hip vent,corset,gothic_lolita,no_bra,torn clothes,see-through,evening dress,Organza lace,miniskirt,no_panties,thighba"
"好的","((((torogao)))),((((blush)))),(((naughty face))),(((((ahegao))))),((((drooling)))),((((orgasm)))),((best quality, masterpiece, highres, original, extremely detailed wallpaper,an extremely delicate and beautiful)),tears,((((fucked silly)))),(standing),(((({best quality},Amazing,beautiful detailed eyes,finely detail,Depth of field,extremely detailed CG,beautiful detailed eyes,1girl,finely detail,cameltoe,five fingers,intricate detail,{an extremely delicate and beautiful girl},finely detail,Depth of field,{full body} ,highly detailed,detailed clothes, detailed face, detailed eyes,detailed background,detailed skin,nipples,pussy,cityscape,lens flare )))),tentacle_sex,medium_breasts,(unbuttoned clothes,black stocking,garter straps garter belt,high heels,huge_breasts,masterpiece,best quality,album cover,mature girl,upper body,night,dark,lying on the bed,long messy and brown hair,((blush)),((closed eyes)),((open mouth)),((screaming)),(saliva),earrings,choker,bust,((sweat)),((short beige shirt with off shoulder)),(mi"
"随便搞点","{best quality}, {{masterpiece}}, {higher}, original, extremely detailed CG unity 8k wallpaper, 1girl, {an extremely delicate and.png, white hairs, {gray eyes}, kneeling,snow,forest,beautiful, detailed eyes, cumulonimbus cloud, lighting, beautiful, detailed sky,white ​flower​y meadow,cute,stars,flower petals"
"冷静的少女","pov hands,full body,cinematic angle ,blue sky with clouds,field,extremely detailed CG unity 8k wallpaper,meticulous painting,hetero,bishoujo,slim waist,linea alba,gradient hair,low-tied long hair,aqua_eyes,Black blue hair,smile,standing,hand in own hair,slim legs,knees together,light smile,beautiful detailed eyes,aquagradient eyes,heterochromia blue red,sportswear,pants,white_thighhighs,sneakers,firearms,flat_chest,upturned nipples,medal,cinematiclighting"
"好看的美少女,DPM2生成效果更好呦","1 girl,sharp focus,full body,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},ray tracing,overall view,depth of field,dynamic angle ,perspective,lovely,delicate refective and high glass guardrail board,slim waist,neat figure,virgin,messy_hair,long_hair,split-color hair,shiny hair,hair spread out,floating hair,slim legs,messy_hair,looking at viewer,dynamic pose,detail fingers,beautiful_face,confused,eyelashes,beautiful detailed eyes,backless outfit,layered skirt,bow panties,lace-trimmed panties,{{{Leg stockings,：Compiled by thin filament lines arranged horizontally}}},{black stockings},lace-trimmed_gloves,neck ribbon,hair ribbon,ribbon,belt,thigh strap,tassel,hair ornament,hair rings,hair stick,hair flower,earrings,necklace,papilla,medium_breasts,puffy areolae,gem,leg ring"
"一段简单的猫娘tag","((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), ((disheveled hair)), ((beautiful detailed girl)), beautiful detailed glow, ((detailed face)),((an extremely delicate and beautiful)),spring ,((solo)),(loli),1 cute girl with (cat ear),(cat tails),standing,(cute), (detailed beautiful eyes), (detailed face),(blue hair|white hair:1.2), ahoge,(blue ear),:D,(yellow eyes),(twintails),(small breast),no nose,no ears,(white jacket),white thighhighs,(blue skirt),(detailed sunlight),(detailed forest),(detailed grass),(detailed blue sky)"
"明日方舟 鈴蘭","1girl	0.998,animal_ear_fluff	0.724,animal_ears	0.996,bamboo	0.929,blonde_hair	0.586,blue_hairband	0.747,branch	0.615,flower	0.997,flower_pot	0.559,forest	0.625,fox_ears	0.985,fox_girl	0.705,fox_tail	0.997,frills	0.668,grass	0.670,green_eyes	0.945,hair_rings	0.635,hairband	0.630,holding	0.615,holding_flower	0.861,kyuubi	0.832,leaf	0.737,lily_(flower)	0.784,lily_of_the_valley	0.810,looking_at_viewer	0.761,multiple_tails	0.999,nature	0.814,plant	1.000,potted_plant	0.997,short_hair	0.536,skirt	0.654,solo	0.943,spider_lily	0.595,tail	0.997,tree	0.587,white_flower	0.774,Character Tags,suzuran_(arknights)	0.999,System Tags,rating:safe	1.000"
"和泉纱雾生成器","Izumi Sagiri,skinny, slim legs, sliver hair, long hair, petite, small breasts, minigirl, indoors,slim waist,best quality, masterpiece, highres, original, extremely detailed wallpaper 8k,an extremely delicate and beautiful girl,detailed fingers,1girl,loli, indoors, blue eyes,underage, hair ornament, low twintails, pink hair bow, hair in front of  body"
"姐姐正骑乘","nsfw,masterpiece, best quality, (1 girl,straddling,looking at viewer,girl_on_top,(arm_support),leaning forward,pov,m legs,),(1 boy,penis insertion),from below,sex,bangs, bare shoulders, blue eyes, blush, breasts, brown hair, censored, collarbone, cum, ejaculation, erection, eyebrows visible through hair, handjob, heart, heart-shaped pupils, hetero, large breasts, large penis, looking at viewer, medium breasts, mosaic censoring, nipples, open mouth, penis, precum, saliva, shirt, short hair, solo focus, symbol-shaped pupils, testicles, tongue, tongue out, twitching penis, white shirt"
"开心的萝莉","((((((((masterpiece)))),(((best quality))),(((illustration))),red moon,((mist)),(blood),((1 girl)),(vampire),small breast,hidden hands,beautiful detailed eyes,lolita fashion,red eyes,white long hair,(expressionless),weapon,cinematic lightning,dynamic angle,)))),(((((Perfect female body,solo,young girl,ahoge,long_hair,silver_hair/cyan_eyes,white stocking,small_breasts,papilla,lace-trimmed panties,on bed,closed eyes,Lie on your side,slim legs,sleeping,white panties,nsfw,detail fingers,))))),((((({an extremely delicate and beautiful}, best quality, {{masterpiece}}, illustration, studio photography, {extremely detailed cg}, highres, small_breasts, {{loli}},{one girl}, very long light white hair, beautiful detailed blue eyes, aqua eyes, white robe, cat ears, {flower hairpin}, {surrounded by beautiful detailed blue flowers}, sunlight, light smile, beautiful detailed blue necklace, {{{see-through}}}, flower request, breast_focus, {luxuriant bra}, {{breast_conscious}}, nipples, presenting breast, {hand on breast}"
"毛衣与黑丝","extremely detailed CG unity 8k wallpaper,masterpiece, best quality, ultra-detailed,best illumination, best shadow, an extremely delicate and beautiful,lens 135mm,f1.8,female focus, dynamic angle, floating, finely detail,  (bloom), (shine), glinting stars, impasto, photorealistic, realistic, oilpainting full body ,view straight on, selfie ,Beautiful detailed girl, extremely delicate and beautiful girls,  {ojousama}, {very long hair}, {{black hair}}, low-tied long hair, {hair between eyes}, smug, eyeshadow,   large breasts, {{ribbed sweater}}, {black pantyhose}, fingerless_gloves, jewelry, hairpin, {arms behind back }, {{leaning forward}}, sitting, skirt, beautiful face, extremely_beautiful_detailed_anime_face, cute face, bright , glowing eyes, blank stare, palace, the best building, starry sky,raindrop,petals floating in the wind,(road),handrail,[[Bustling city]], impasto"
"触手play","tentacle_sex(nsfw,sex,uncensored,{{{best quality}}},{{{official art}}},{{{extremely detailed CG unity 8k wallpaper}}},{{{masterpiece}}}{{{Beautiful scenery}}},Perfect female body,shiny eyes,floating violet hair,{{{light skin}}},aqua eyes,hair tie, bowties,atropurpureus multiple hair bows,hairpins ,smile,{{{detached_sleeves}}},{{{Royal sister}}},{{{pleated_miniskirt}}},{{{frilled lace thighhighs}}},{{{neck garter}}}{{{lace shoes}}},very long hair,{{{shy_face}}},{{{spread legs}}},snow,wind,flower,moon,small_nipples,ejaculation, cum_in_pussycum_inside,cum_on_breast, cum_on_abdomen,cum_on_face, cum_on_kneesocks),furry,tentacle_under_clothes,tentacle_sex"
"黑发红瞳运动少女","{{masterpiece}}, illustration, extremely detailed CG unity 8k wallpaper, tachi-e, cinematic lighting, 1girl, {{{muscular}}}, {{holding towel}}, {{wiping sweat}}, black hair, red eyes, thigh gap,  wet clothes, sweaty skin, collarbone, headphones around neck, midriff, curvy, sweatdrop, flying sweatdrops, sweating profusely, medium breasts, exercise,  sweaty skin, high ponytail, gym, exercise machine, {wrist band}, smile, sports brand, sitting,  thigh, sportswear, shoes, spread legs, translucent"
"开心","nsfw,sex,((((1boy)))),Bashful,sweat,orgasm,tears,crying,pain,(best quality),(highly detailed),(masterpiece),(ultra-detailed),(absurdres),(((artbook))),((an extremely delicate and beautiful)),((detailed light)),((ultra-detailed)),(anime face),ultra-detailed hair,((extremely_detailed_eyes_and_body)),((gorgeous)),((beautiful detailed eyes)),illustration,medium breasts,(solo),((bishoujo)),(arknights),((white_hair)),(((very long hair))),(red eyes),(((breast press))), game_cg,(((torn cloth))),(((grab_wrists))),milking,grab_breasts,((focus_milking)),scared,(extremely detailed nipples),((((suckleing nipple)))),((retie)),rope,bound_wrists,arms_behind_back,breast grab,(((((breasts being grabing by another))))),(((breast spraying)))"
